node,lat,lon,x_m,y_m,p_kw,cluster
79,36.31597909999999,139.5793147,372465.8125352402,4019932.606050667,16.926220325357857,61.0
80,36.3159716,139.5788598,372424.96165044274,4019932.374002316,14.825786553191865,61.0
6225,36.3249638,139.581264,372655.4316252894,4020926.7174525904,26.547076134616937,58.0
82,36.3224814,139.5761934,372196.2162973206,4020658.0320671066,6.228974003901127,29.0
83,36.3228408,139.5762237,372199.5232109901,4020697.8605942726,33.40175412644282,29.0
84,36.3285748,139.5768153,372261.99076760194,4021333.157039684,20.096524335349866,54.0
85,36.32755629999999,139.581263,372659.56117935583,4021214.307144371,68.22536649506904,126.0
86,36.328128,139.5797192,372521.9185231426,4021279.760615526,5.518538686146353,6.0
87,36.32202350000001,139.5833362,372836.6639417076,4020597.820588952,162.26959202203795,33.0
88,36.32336329999999,139.5902077,373455.6713700631,4020737.431716133,139.90744429130228,21.0
89,36.3221886,139.5846193,372952.1133470234,4020614.448796385,128.90056625946403,76.0
90,36.3219758,139.5818984,372707.5178481935,4020594.420803362,68.06377739126289,33.0
91,36.33511450000001,139.5805339,372606.42477006325,4022053.7063193913,30.63854257110417,8.0
92,36.33333679999999,139.5826575,372794.1333886514,4021853.707945287,25.14898424590799,134.0
6236,36.3241408,139.5848323,372974.4028881497,4020830.7280931054,46.019919515361416,131.0
6230,36.32459149999999,139.5851714,373005.5738643939,4020880.2792224456,15.961181508134462,10.0
6234,36.3241634,139.5844482,372939.9606193994,4020833.739753737,30.21285759740553,131.0
6240,36.3237386,139.587282,373193.6498623978,4020782.896583483,48.65702849099442,138.0
6241,36.3247474,139.58849540000003,373304.20533104846,4020893.213065141,130.8141606638303,21.0
6237,36.3252456,139.5856214,373047.0293942714,4020952.248182759,56.56115778654327,10.0
6243,36.32234039999999,139.5918057,373597.4658359816,4020621.870749572,36.556024713738495,136.0
6235,36.3246159,139.5849126,372982.38227030606,4020883.325846701,35.50862973723848,10.0
6245,36.32247350000001,139.5860271,373078.9505744979,4020644.20436146,66.26614121593309,76.0
6238,36.3246607,139.5854901,373034.29427640873,4020887.5371346935,36.24356653170006,10.0
6247,36.3214383,139.5819276,372709.2647958503,4020534.7570535424,166.075148056672,33.0
6248,36.31788529999999,139.587095,373167.3777307246,4020133.830991158,44.52626331962693,119.0
6249,36.317021200000006,139.5873905,373192.5056184416,4020037.5883220574,28.243414361269732,99.0
6242,36.3242182,139.5886079,373313.44709713967,4020834.361108949,123.93820259836184,21.0
6244,36.3222254,139.591128,373536.4445001493,4020609.9997559423,44.583363606351696,136.0
6246,36.32296,139.5858939,373067.7826746901,4020698.3470142335,148.27126437690382,138.0
6272,36.33328730000001,139.5713912,371782.8440285587,4021863.099515583,22.384015704523787,34.0
6273,36.3329746,139.5712526,371769.89135092846,4021828.59516156,33.672646984198096,34.0
175,36.31590649999999,139.5763528,372199.7892955737,4019928.462143239,57.10098408132481,52.0
176,36.31590179999999,139.5777526,372325.4488651088,4019926.0920373816,63.64958571697977,61.0
177,36.31601980000001,139.5817381,372683.4395014785,4019933.9281355,170.69596111270428,116.0
178,36.3160585,139.5735228,371945.9742603251,4019949.066801285,113.81245145782138,137.0
179,36.31610299999999,139.5709991,371719.4819776722,4019957.347540021,227.33865352481197,24.0
180,36.3164185,139.5848582,372964.1933584095,4019974.0535390833,202.1018906648377,87.0
205,36.3166325,139.5763756,372203.0215306524,4020008.967779159,126.92909799246311,52.0
206,36.3174488,139.5764206,372208.39415433566,4020099.461143973,161.16008091366186,56.0
207,36.31750009999999,139.5751664,372095.884212272,4020106.8098265487,71.3162984084767,118.0
208,36.3175883,139.5736022,371955.6050474987,4020118.663697454,164.86574849600592,81.0
209,36.317735600000006,139.5710181,371723.8633758953,4020138.4281136207,92.73665887910332,53.0
210,36.3177577,139.5699385,371626.9805693383,4020142.31214702,54.78957509662419,53.0
211,36.318946,139.5818494,372698.1909042045,4020258.387175316,179.9471653010241,60.0
212,36.3189718,139.5847572,372959.2705694321,4020257.42557706,125.14058508220424,0.0
213,36.319024500000005,139.5752454,372105.4673342623,4020275.808346567,37.70613836709069,122.0
214,36.3190632,139.5736776,371964.7867484576,4020282.175826435,44.60323304904425,30.0
215,36.31907449999999,139.5728119,371887.09000766673,4020284.575786327,147.4231973648273,113.0
216,36.319097,139.5717306,371790.0568820853,4020288.504668142,54.16910682518599,113.0
217,36.31911850000001,139.5710487,371728.876905522,4020291.7938939,52.444560307691134,135.0
4350,36.31893550000001,139.5916718,373579.9458684097,4020244.337979419,125.42969271846736,101.0
4351,36.31902849999999,139.588985,373338.8982953667,4020258.170008512,100.40780616382897,73.0
4352,36.31905280000001,139.5871553,373174.6828964119,4020263.263489952,27.508449570762952,111.0
4353,36.31906679999999,139.5884017,373286.5966364958,4020263.1827444416,65.84248029706876,11.0
258,36.3160709,139.5871135,373166.09840975096,4019932.534140585,64.88975521060296,9.0
259,36.3161128,139.5872214,373175.853003456,4019937.040643129,42.40102165239389,9.0
4354,36.31921019999999,139.5903167,373458.7406576817,4020276.5828382233,34.12934474988618,73.0
4356,36.3201484,139.5891884,373358.9699721485,4020382.134903874,108.0301515843492,86.0
4358,36.32085459999999,139.5913177,373551.2585166732,4020457.6879209504,95.12360056254006,101.0
4359,36.3217762,139.5908943,373514.7397460757,4020560.4753302103,107.88546785478854,136.0
4357,36.320624,139.5913984,373558.1303266352,4020432.0017948025,510.0331392342823,101.0
4363,36.3300526,139.5710457,371746.5304608978,4021504.728793937,0.0,
3722,36.32805449999999,139.5881266,373276.4563521704,4021260.555616316,27.067718658888523,66.0
3724,36.32835270000001,139.578242,372389.68994357646,4021306.635378012,22.214320052373484,95.0
4406,36.31893389999999,139.58346820000003,372843.4934834476,4020254.915303568,163.97584547151013,59.0
4407,36.31900499999998,139.5854117,373018.07989826775,4020260.248924738,51.705671646216025,0.0
4408,36.31991549999999,139.5819092,372705.1361395115,4020365.855851336,281.45340841425514,27.0
4409,36.3203886,139.58469550000004,372956.0315779792,4020414.673303253,72.59259397142843,40.0
4410,36.3215222,139.5819283,372709.4641023608,4020544.063227397,48.34419845218795,33.0
4411,36.3225209,139.5905718,373486.99341954326,4020643.5072821374,115.3850532258852,136.0
3726,36.3286111,139.5878138,373249.2808218884,4021322.709727961,196.2853219764217,66.0
4416,36.3236788,139.5762798,372205.9276984772,4020790.7465710263,16.80982428615527,109.0
4418,36.32425260000001,139.57428,372027.3515903236,4020857.043435597,61.29270887188889,79.0
4419,36.3242187,139.5763189,372210.3192655972,4020850.586512616,65.65755669212768,109.0
4424,36.325069600000006,139.574514,372049.6926915872,4020947.364391213,510.6844837832997,78.0
4425,36.325392,139.57577430000003,372163.3497976637,4020981.461641965,32.52121409469417,82.0
4427,36.32584200000001,139.5810367,372636.4575882603,4021024.4363266327,166.35381382353938,28.0
4429,36.32622589999998,139.5728395,371901.27481098654,4021077.850929919,37.9074175148002,44.0
3732,36.3313763,139.5849439,372996.1664246085,4021633.2218797593,20.601480347465937,102.0
3734,36.3316663,139.58463,372968.4625273818,4021665.804241556,0.0,
5772,36.326160899999984,139.5864166,373119.8942016493,4021052.7394500906,12.250286482443354,15.0
5773,36.3262686,139.586045,373086.7128655613,4021065.1743647736,25.261330511806733,15.0
375,36.31897800000001,139.5899569,373426.06545636745,4020251.295576703,85.91010539721327,73.0
376,36.3190464,139.5871014,373169.8338461323,4020262.6242178944,32.52082671308154,111.0
5775,36.3175413,139.5800334,372532.8779665788,4020104.9546351726,71.34754436577215,128.0
395,36.33680739999999,139.5785915,372434.8494691195,4022244.0629626713,291.3960356223864,93.0
4528,36.3159314,139.5757169,372142.7419522297,4019932.064761521,60.23990956652926,36.0
4529,36.318415,139.5719785,371811.194216403,4020212.521175161,25.485400630850457,113.0
4530,36.3185311,139.5649261,371178.27472948673,4020234.77103456,11.427677257772352,19.0
4531,36.3189218,139.5648895,371175.63215967966,4020278.1605333914,0.0,
4532,36.3190912,139.5719981,371814.06126830354,4020287.506677304,106.77929974884242,113.0
4534,36.32049,139.571098,371735.5504266201,4020443.870292197,89.00008094406309,77.0
4535,36.320794600000006,139.56492180000004,371181.6144464467,4020485.8691449338,0.0,
4536,36.3218352,139.5729327,371902.45324735047,4020590.6627761554,71.06275399485875,91.0
4537,36.3218706,139.5711395,371741.5385873802,4020596.9665405103,40.61297208313145,91.0
4538,36.32247670000001,139.5762693,372203.02198264224,4020657.4103847328,16.071762339250952,29.0
4539,36.322493500000014,139.5771962,372286.2549890127,4020658.0494932607,29.698055528580586,29.0
4540,36.32249849999999,139.5729562,371905.6485497474,4020664.2121502906,264.27436134688315,91.0
4541,36.322515,139.5711446,371743.0525548825,4020668.443701167,37.23200288368277,91.0
4542,36.3225206,139.5671991,371388.8835166149,4020674.30503694,63.890769709930325,108.0
4543,36.3225357,139.5654601,371232.80238261726,4020678.2942983992,156.8704782512735,108.0
4544,36.3225388,139.5653496,371222.8881570539,4020678.785329313,43.0956036188105,108.0
4545,36.3228581,139.5654625,371233.5483361917,4020714.0552806826,60.543555445089126,108.0
4546,36.3241646,139.5659403,371278.5883272968,4020858.35061632,8.469710197779762,108.0
4547,36.3241754,139.5660346,371287.0710061797,4020859.4231486274,10.166888689434971,108.0
4548,36.3243977,139.5780916,372369.7386978373,4020868.101960544,62.94887640229775,4.0
4549,36.3259469,139.5778381,372349.5105364086,4021040.2907845457,147.40554081716493,20.0
4550,36.32608449999999,139.5667188,371351.6276127052,4021070.2912101,27.819576697416515,120.0
4551,36.3261237,139.5666218,371342.9850026636,4021074.768768498,15.542728720917264,120.0
4552,36.3267966,139.5669528,371373.8029408531,4021148.973957065,19.53302394782999,120.0
4553,36.3278529,139.567319,371408.4101507381,4021265.663431424,29.161407424773856,124.0
4554,36.3278724,139.5672337,371400.7855430635,4021267.9400345753,11.849635736501948,124.0
4555,36.3291864,139.5677983,371453.62386746594,4021412.95278152,56.0200361931232,75.0
4556,36.3292041,139.5677101,371445.7361194648,4021415.033528375,21.99016043222166,75.0
4557,36.3326253,139.569017,371568.6601830508,4021792.8143934007,38.32805255341247,64.0
4558,36.33265109999999,139.5689181,371559.8256723368,4021795.807803258,47.45855428843281,64.0
4559,36.33396750000001,139.5694724,371611.7380616879,4021941.101385068,23.494059410655023,64.0
4560,36.3339865,139.5693911,371604.4722085834,4021943.3170486833,0.0,
4561,36.3350397,139.5698699,371649.17485642247,4022059.5140219694,10.81231060708194,26.0
4562,36.3350567,139.5697788,371641.0262320943,4022061.5208064793,68.20593793657383,26.0
4563,36.33530180000001,139.5684896,371525.7189266205,4022090.4225555738,18.302712933331044,62.0
4564,36.336150700000005,139.5701833,371679.126226356,4022182.342575131,20.547106707024486,26.0
4565,36.336175700000005,139.5702943,371689.1297082418,4022184.968522084,46.457323841569725,26.0
4566,36.3362977,139.5703404,371693.4674065536,4022198.440946469,3.1380671982947668,26.0
4567,36.336321100000006,139.5702434,371684.7998699355,4022201.1654842687,36.520246010495576,26.0
4568,36.3364731,139.5705006,371708.1333478257,4022217.685673661,45.59336587071275,26.0
4569,36.3370405,139.5705159,371710.4372291768,4022280.607757685,4.541131492244981,48.0
4570,36.337046,139.5706192,371719.7175235131,4022281.080796232,14.051211810871797,48.0
4571,36.3386325,139.5712017,371774.5985336534,4022456.300414955,3.030773882359311,48.0
4572,36.3386926,139.5711288,371768.1543645327,4022463.0640867352,3.646068909557015,48.0
4585,36.3173031,139.5919218,373599.7524782999,4020062.928084661,24.47633933901333,72.0
4586,36.3189031,139.5917898,373590.4865734934,4020240.589586617,0.0,
4587,36.3264186,139.5879414,373257.1826382352,4021079.326615024,351.0147067670323,66.0
4635,36.31769059999999,139.5650081,371184.2527207,4020141.4243071983,3.082883172672113,97.0
4636,36.3177042,139.5650881,371191.45696116856,4020142.826417816,126.94670474868778,97.0
4637,36.3183577,139.5744713,372034.88492674177,4020202.863615696,39.99282083562253,81.0
4638,36.31920040000001,139.5766546,372232.2605925391,4020293.458430071,46.79096634442956,1.0
4639,36.32629180000001,139.5785329,372412.44069252064,4021077.633867016,28.50238402295959,20.0
4640,36.3269901,139.57320320000002,371935.1725609352,4021162.14266358,6.706173678216564,44.0
4641,36.3276306,139.5742858,372033.3969698001,4021231.760683605,5.871474046509828,37.0
4642,36.3308217,139.5683716,371507.7691801984,4021593.5964557608,39.38254594892315,42.0
4643,36.33084590000001,139.5682881,371500.314127708,4021596.391964105,40.26202752979596,42.0
1739,36.3273826,139.5703004,371675.2537913837,4021209.531630573,25.50994851655813,85.0
4655,36.3242812,139.58129900000003,372657.4625231004,4020850.949943752,30.393305637103374,58.0
4656,36.3229435,139.5817676,372697.3504163645,4020701.9407499856,45.95286980672566,39.0
4657,36.32449450000001,139.5789448,372446.4843086521,4020877.714298345,52.68977645512904,4.0
4658,36.32296149999999,139.58099840000003,372628.3309308521,4020704.950380911,69.90707425664141,133.0
4659,36.32463219999999,139.5811682,372646.2924682951,4020890.0589382527,8.991135054807849,58.0
1741,36.32739449999999,139.5733903,371952.6289511796,4021206.755386993,30.78894316986234,141.0
4673,36.322669,139.5869741,373164.2772556569,4020664.648831554,76.00683467244244,138.0
4674,36.3180824,139.5854342,373018.6029095497,4020157.874708168,48.6804901649657,98.0
4675,36.3221567,139.5799964,372537.073523611,4020616.99347368,53.88429950764784,133.0
4676,36.32438659999999,139.5863748,373113.26488559885,4020855.9697531713,63.870306083843744,144.0
4677,36.32215,139.578945,372442.6805956322,4020617.636566288,16.665936881400714,46.0
4678,36.3181845,139.5871444,373172.2973401882,4020166.956667362,4.906888759605884,119.0
4679,36.3218338,139.5870768,373172.14276029257,4020571.864771077,22.66439640003073,105.0
4680,36.3223416,139.5789297,372441.6194600549,4020638.911102457,44.55300217594933,46.0
6222,36.3245406,139.5812041,372649.365954329,4020879.850389593,17.29784427097511,58.0
6221,36.3244649,139.5809066,372622.5375848869,4020871.844764602,13.512694533260486,58.0
6223,36.3242863,139.580882,372620.0386210276,4020852.064914377,53.69870708909231,58.0
6224,36.3247168,139.5807187,372606.0808013357,4020900.035783235,50.64500665269883,58.0
6226,36.325456,139.5784101,372400.05477453925,4020985.0798265953,123.47208798003354,4.0
6227,36.327463300000005,139.5794032,372492.47075746267,4021206.441470655,116.61668723698732,6.0
4708,36.31796659999999,139.58826150000002,373272.2292708986,4020141.320522311,94.94991405436554,99.0
6228,36.3251173,139.5842899,372927.2998362032,4020939.764688537,99.84783551389305,31.0
3786,36.318392300000006,139.5727728,371882.4632055022,4020208.9505241024,22.443342632357485,57.0
6229,36.32552639999999,139.5835748,372863.77396676526,4020986.0864683934,161.93985468353296,31.0
6231,36.3246482,139.5845703,372951.7081372541,4020887.358590576,23.820244497100997,31.0
3789,36.3190403,139.5744759,372036.4139337899,4020278.578942853,76.83484885341394,122.0
6232,36.3247475,139.584598,372954.3558537576,4020898.337628671,36.499062642074094,31.0
6233,36.3239432,139.5844501,372939.77362077165,4020809.310290218,149.31955085550925,131.0
6239,36.3243182,139.5871843,373185.8190365201,4020847.32018559,78.06883825377747,144.0
4787,36.316453300000006,139.5763646,372201.7414238873,4019989.1035133535,50.26894081602544,52.0
4788,36.3169891,139.5791242,372450.3562721892,4020044.897337229,153.92655404595806,128.0
4789,36.3170454,139.5808322,372603.7816610328,4020048.891577999,70.16920434197205,116.0
4790,36.31712,139.5817731,372688.37115224166,4020055.9280523895,40.14339757837132,116.0
4793,36.3192439,139.5917382,373586.4048258,4020278.4621913433,102.45874609968126,101.0
4806,36.32660550000001,139.5798991,372535.58620836993,4021110.6310840272,107.17837311596944,20.0
4807,36.3266981,139.579269,372479.1775715504,4021121.734085324,73.8594383855048,20.0
4808,36.3268344,139.5779741,372363.166156178,4021138.562479489,13.11640206098634,146.0
4809,36.326859000000006,139.5853642,373026.5602272808,4021131.561711408,14.724972163791614,15.0
4810,36.3269545,139.577139,372288.4014540057,4021152.987956799,50.03474938952655,146.0
4811,36.3273636,139.5771765,372292.4352935653,4021198.320292172,17.494206539055842,146.0
4812,36.327476100000005,139.5799942,372545.5408571341,4021207.082200233,108.54499833144897,6.0
4813,36.32770239999999,139.5781354,372379.0606893413,4021234.637654656,45.66009054129237,146.0
4814,36.3278303,139.5772559,372300.324124846,4021249.986918532,18.185683991017093,146.0
4815,36.32785689999999,139.5847711,372974.94222093816,4021243.03862402,61.01724582647062,88.0
4816,36.32800679999998,139.5781853,372384.0363006411,4021268.339183906,29.957888537519924,95.0
4817,36.32807569999999,139.5800225,372549.0578606596,4021273.5590951457,9.462501426724302,6.0
4818,36.3281065,139.5798437,372533.0587492527,4021277.21146492,8.818356884814522,6.0
4819,36.3281331,139.5773173,372306.32967942,4021283.495734436,31.46136678052483,95.0
4820,36.32815630000001,139.57952680000002,372504.69460847246,4021283.1536412975,13.63763049833936,6.0
4821,36.32816379999999,139.5794809,372500.58679857606,4021284.046147805,44.29871863069983,6.0
4822,36.32817469999999,139.5851335,373007.987558673,4021277.8164288457,53.33375192858816,88.0
4823,36.32818900000001,139.5798311,372532.06217057945,4021286.3798797154,8.951912237985947,6.0
4824,36.328312800000006,139.5801241,372558.5638022249,4021299.7269078856,58.383175665795335,6.0
4825,36.3286519,139.5782933,372394.7826714547,4021339.758225924,51.54809168674748,95.0
4826,36.3287702,139.5829619,372814.03069911647,4021346.730124223,232.87447136593315,14.0
4827,36.32888779999999,139.5774802,372322.1833872262,4021367.0002400912,42.32786209266544,107.0
4828,36.3290207,139.5812184,372657.9413224049,4021376.81315426,60.32517667691557,41.0
4829,36.3290701,139.5812183,372658.0127532614,4021382.293275175,7.078735392280585,41.0
4830,36.329066,139.5763502,372221.0453633582,4021388.260908661,132.9649754417036,54.0
4831,36.3291466,139.5806372,372605.9777952457,4021391.544978272,96.76012285509556,41.0
4832,36.3292068,139.5783885,372404.23286407633,4021401.188199441,31.280677072082305,107.0
4833,36.32929399999999,139.5781673,372384.5202226311,4021411.153315031,25.58207231332372,107.0
4834,36.3293239,139.5754571,372141.3021491866,4021418.0506744734,0.0,
4835,36.32941009999999,139.5777926,372351.07667087286,4021424.527025608,20.97991032700498,107.0
4836,36.3294106,139.5764908,372234.2283924832,4021426.301939382,60.31007588654353,54.0
4837,36.3294429,139.5776641,372339.5960803099,4021428.335218677,39.80528362189756,107.0
4838,36.3294628,139.5749761,372098.3547859852,4021434.095173264,0.0,
4839,36.3294633,139.5844939,372952.6690033499,4021421.602222095,11.595979314790778,110.0
4840,36.3296574,139.5743025,372038.21100901975,4021456.573631459,0.0,
4841,36.3296634,139.5756105,372155.6260806333,4021455.508920824,10.236594638774656,74.0
4842,36.3296912,139.5847832,372979.006441169,4021446.503277313,74.53793612578636,110.0
4843,36.3297228,139.576661,372250.0152816064,4021460.709713494,20.093831583426088,74.0
4844,36.3297423,139.5782781,372395.1968091892,4021460.7374493615,69.66629070079071,127.0
4845,36.32977489999999,139.5843756,372942.5565149759,4021456.3237489983,11.069747106771894,110.0
4846,36.3297908,139.5841271,372920.27719726297,4021458.414135691,73.3189827168737,110.0
4847,36.3299939,139.5757599,372169.57615509565,4021491.97409853,14.5652713500102,74.0
4848,36.3299954,139.582826,372803.8242491497,4021482.821482553,22.980653957227734,84.0
4849,36.3301083,139.5768843,372270.6879267509,4021503.178609408,25.91586562769596,74.0
4850,36.33011559999999,139.5845165,372955.7568456758,4021493.93276593,9.082516594535004,110.0
4851,36.330128,139.5753143,372129.7987358854,4021507.439180432,0.0,
4852,36.3302007,139.5750728,372108.24082475423,4021515.8232872128,0.0,
4853,36.33028420000001,139.5850125,373000.55087790126,4021511.984097543,16.994170036982904,102.0
4854,36.33029189999999,139.5784856,372414.71816353616,4021521.431300716,50.4016247025668,127.0
4855,36.33037339999999,139.58020190000002,372568.9036005703,4021528.208735572,81.75565179531259,43.0
4856,36.33043039999998,139.5846276,372966.2402149818,4021528.70784421,9.593956363433044,102.0
4857,36.33047150000001,139.5777814,372351.8031957584,4021542.2839977294,3.601619811736647,83.0
4858,36.33049389999999,139.5771147,372291.9978273109,4021545.649266685,34.420564836656126,83.0
4859,36.3305356,139.575566,372153.0571371389,4021552.321828658,0.0,
4860,36.330671,139.5778981,372362.6034944519,4021564.2606720175,5.417159107384417,83.0
4861,36.3306887,139.5778528,372358.56632812414,4021566.283954562,16.753515323073344,83.0
4862,36.330857,139.5761538,372206.3421230215,4021587.197981027,25.03222554095332,74.0
4863,36.3308851,139.5773498,372313.7385316393,4021588.73498007,59.90273646273943,83.0
4864,36.331067,139.5798378,372537.35262752447,4021605.6304241214,48.60099193832461,43.0
4865,36.3311485,139.5766737,372253.4833075438,4021618.847325057,45.3264815699476,83.0
4866,36.33137819999999,139.5792821,372487.9815188596,4021640.884904855,44.37678921362354,43.0
4867,36.3314319,139.5807146,372616.6463558785,4021644.953580166,37.57000459435236,43.0
4868,36.3315419,139.5778071,372355.8565173834,4021660.990652064,43.647134991959945,83.0
4869,36.3315762,139.5790521,372467.66011714033,4021663.1526119607,11.02398951117607,43.0
4870,36.3316542,139.5786012,372427.3158274184,4021672.4001007606,35.67666822236704,2.0
4871,36.331757,139.5784464,372413.58909911447,4021684.008081688,7.286067059085461,2.0
4872,36.33176919999999,139.5773052,372311.17839983554,4021686.868025141,40.073408231350754,83.0
4873,36.3318322,139.57871020000002,372437.3896013968,4021692.00200567,38.654544259024085,2.0
4874,36.33193790000001,139.5785483,372423.0303495039,4021703.941040317,16.742801979605506,2.0
4875,36.331968200000006,139.5803687,372586.4728115905,4021704.9016737663,61.96950902402057,43.0
4876,36.3321035,139.5773817,372318.5904444914,4021723.8512477297,17.972006392251775,2.0
4877,36.3321236,139.5799941,372553.1031414031,4021722.634091887,27.23218505719616,43.0
4878,36.33228809999999,139.5779246,372367.6204577205,4021743.612282685,46.4166855894385,2.0
4879,36.3325821,139.5796531,372523.24334741465,4021773.945536668,33.09991780023997,2.0
4880,36.33273929999999,139.5792408,372486.49321026873,4021791.9276089584,19.984030689787136,2.0
4881,36.33280839999999,139.5790755,372471.7692299308,4021799.810975125,1.2987161055053544,2.0
4882,36.33294219999999,139.5787613,372443.7861638635,4021815.068050381,31.78038179375445,2.0
4883,36.3331541,139.5782762,372400.59139074135,4021839.214479528,15.820264191820367,2.0
4884,36.33326579999998,139.5789858,372464.46388167096,4021850.6691657673,59.63093918234931,2.0
4885,36.333309,139.5794797,372508.86437665246,4021854.809964324,68.23227945939259,38.0
4886,36.3336284,139.5807952,372627.4573322242,4021888.5073811626,18.695090523841653,38.0
4887,36.33367179999998,139.5803042,372583.4584420466,4021893.968788727,42.20726534494544,38.0
4888,36.3338632,139.579819,372540.2213352153,4021915.840570836,20.20505176192483,38.0
4889,36.3340139,139.5794368,372506.1627937081,4021933.061843358,87.23231077549636,38.0
4890,36.33736699999999,139.5791132,372482.5850019071,4022305.451720577,55.07568085362245,93.0
4891,36.337491500000006,139.57839840000003,372418.63444521686,4022320.205783045,0.0,
4892,36.33803340000001,139.5797317,372539.1817113076,4022378.560534274,0.8851421430225761,93.0
825,36.3244168,139.5711782,371749.1857515278,4020879.367720849,191.7139271813599,130.0
826,36.3248215,139.5700057,371644.599623696,4020925.817226928,22.905177415594533,112.0
827,36.3252297,139.5763935,372218.66678227787,4020962.639120727,52.627107925173696,82.0
829,36.33130859999999,139.5812834,372667.4995978532,4021630.526525268,96.0640207023923,22.0
856,36.31574090000001,139.56802,371451.43859814334,4019921.134863053,106.84526451517942,18.0
859,36.3164542,139.5725131,371855.976258358,4019994.299449519,97.50475158416914,137.0
860,36.3170662,139.5688145,371524.940538845,4020067.0959296846,12.84910126629152,18.0
861,36.31770300000001,139.5727091,371875.6163189616,4020132.570250478,120.78476274654209,57.0
863,36.3191707,139.5682363,371476.4891560442,4020301.318344365,170.28446439965856,115.0
864,36.3211439,139.5729051,371898.8440395937,4020514.012774498,90.26657448309288,17.0
865,36.3235133,139.5740745,372007.6955119221,4020775.3041500887,187.38660917019587,79.0
866,36.32384179999999,139.5730034,371912.084388182,4020813.163204282,130.32056603573636,79.0
867,36.3242063,139.5652974,371220.9465268426,4020863.8324326216,117.6817268208518,108.0
868,36.3245481,139.5707631,371712.1393824628,4020894.48358789,78.8030958599555,130.0
875,36.32561080000001,139.5705543,371695.1389571503,4021012.6470355312,34.59694571625199,69.0
876,36.3256669,139.5746711,372064.77132806607,4021013.4156057225,12.418077717282824,78.0
877,36.325791900000006,139.5742623,372028.2802598783,4021027.822926796,73.34622505935032,78.0
878,36.3259429,139.5708274,371720.1979933176,4021049.124898652,25.20887921016589,69.0
881,36.3265986,139.5716366,371793.9091714976,4021120.789173771,0.0,
882,36.32663960000001,139.5715033,371782.0109608088,4021125.514097205,15.367442075797502,123.0
887,36.3276492,139.5723677,371861.2554695735,4021236.364220521,12.412897385054393,55.0
