city,cluster,scenario,candidate,family,replicate,candidate_weight,feasible,issues,mv_drop_pct,lv_drop_pct,transformer_drop_pct,customer_min_pu,customer_max_pu,mv_loading_pct,transformer_loading_pct,power_balance_kw,npc_jpy,length_m,capex_trench_jpy,capex_conductor_jpy,capex_transformer_jpy,variable_loss_kwh_y,no_load_loss_kwh_y,conductor_inventory_json
yasu,22,S1,c022_r07_A_steiner.csv,A_steiner,7,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
yasu,22,S1,c022_r08_A_steiner.csv,A_steiner,8,,True,,0.10902799368273697,0.8189987858589343,1.7351215917741076,0.9742429854178846,0.9836946241612806,24.479612597188126,76.81958835521337,3.623767952376511e-13,507796460.0336303,650.5165748845639,243827486.23268458,27962914.372114096,80501033.31022832,36360.18780335653,21365.639999999996,"{""LV:150"":975.0,""MV:150"":650.516574885}"
yasu,22,S1,c022_r09_A_steiner.csv,A_steiner,9,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
yasu,22,S1,c022_r10_A_steiner.csv,A_steiner,10,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
yasu,22,S1,c022_r11_A_steiner.csv,A_steiner,11,,True,,0.10902799368273697,0.8189987858589343,1.7351215917741076,0.9742429854178846,0.9836946241612806,24.479612597188126,76.81958835521337,3.623767952376511e-13,507796460.0336303,650.5165748845639,243827486.23268458,27962914.372114096,80501033.31022832,36360.18780335653,21365.639999999996,"{""LV:150"":975.0,""MV:150"":650.516574885}"
yasu,22,S1,c022_r12_B_incremental.csv,B_incremental,12,,True,,0.10902799368273697,0.8189987858589343,1.7351215917741076,0.9742429854178846,0.9835672078134297,24.479612597188126,76.81958835521337,2.0961010704922955e-13,513784380.7826227,676.068890189647,247660333.52844706,28601722.254741177,80501033.31022832,36301.08486023158,21365.639999999996,"{""LV:150"":975.0,""MV:150"":676.06889019}"
yasu,22,S1,c022_r13_B_incremental.csv,B_incremental,13,,True,,0.14176493954835567,0.8189987858589343,1.7351215917741076,0.9739156159592284,0.98346763628573,27.983333053792347,76.81958835521337,2.4868995751603507e-13,509166194.2650407,655.6901243884049,244603518.65826073,28092253.109710123,80501033.31022832,36620.54312691321,21365.639999999996,"{""LV:150"":975.0,""MV:150"":655.690124388}"
yasu,22,S1,c022_r14_B_incremental.csv,B_incremental,14,,True,,0.14176493954835567,0.8189987858589343,1.7351215917741076,0.9739156159592284,0.98346763628573,27.983333053792347,76.81958835521337,2.4868995751603507e-13,509166194.2650407,655.6901243884049,244603518.65826073,28092253.109710123,80501033.31022832,36620.54312691321,21365.639999999996,"{""LV:150"":975.0,""MV:150"":655.690124388}"
yasu,22,S1,c022_r15_B_incremental.csv,B_incremental,15,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
yasu,22,S1,c022_r16_B_incremental.csv,B_incremental,16,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
